initial_speed,initial_angle,max_range,max_height
60,11,137.6105853,6.68719703
60,13,161.0342988,9.294424319
60,15,183.6734694,12.30378945
60,17,205.4178013,15.70063109
60,19,226.1613583,19.46840018
60,21,245.8030799,23.58874052
60,23,264.2472736,28.04157822
60,25,281.4040811,32.80521952
60,27,297.1899163,37.85645642
60,29,311.5278721,43.17067982
60,31,324.3480953,48.72199934
60,33,335.5881273,54.48336951
60,35,345.1932076,60.42672153
60,37,353.1165414,66.52309998
60,39,359.3195268,72.7428039
60,41,363.7719436,79.05553154
60,43,366.4521001,85.43052792
60,45,367.3469388,91.83673469
60,47,366.4521001,98.24294147
60,49,363.7719436,104.6179378
60,51,359.3195268,110.9306655
60,53,353.1165414,117.1503694
60,55,345.1932076,123.2467479
60,57,335.5881273,129.1900999
60,59,324.3480953,134.9514701
60,61,311.5278721,140.5027896
60,63,297.1899163,145.817013
60,65,281.4040811,150.8682499
60,67,264.2472736,155.6318912
60,69,245.8030799,160.0847289
60,71,226.1613583,164.2050692
60,73,205.4178013,167.9728383
60,75,183.6734694,171.3696799
60,77,161.0342988,174.3790451
60,79,137.6105853,176.9862724
60,81,113.5164469,179.1786597
60,83,88.86926777,180.9455259
60,85,63.78912649,182.278263
60,87,38.398211,183.1703781
60,89,12.82022328,183.6175249
70,1,17.44974835,0.076146623
70,3,52.26423163,0.684763079
70,5,86.82408883,1.899030873
70,7,120.9609478,3.713034216
70,9,154.5084972,6.117935463
70,11,187.3032967,9.102018179
70,13,219.1855734,12.65074421
70,15,250,16.74682453
70,17,279.5964517,21.37030343
70,19,307.8307377,26.4986558
70,21,334.5653032,32.10689682
70,23,359.6699002,38.16770369
70,25,383.0222216,44.65154879
70,27,404.5084972,51.52684346
70,29,424.0240481,58.76009197
70,31,441.4737964,66.31605465
70,33,456.7727288,74.15791962
70,35,469.8463104,82.24748208
70,37,480.630848,90.54533052
70,39,489.0738004,99.01103865
70,41,495.1340344,107.6033624
70,43,498.7820251,116.2804408
70,45,500,125
70,47,498.7820251,133.7195592
70,49,495.1340344,142.3966376
70,51,489.0738004,150.9889614
70,53,480.630848,159.4546695
70,55,469.8463104,167.7525179
70,57,456.7727288,175.8420804
70,59,441.4737964,183.6839453
70,61,424.0240481,191.239908
70,63,404.5084972,198.4731565
70,65,383.0222216,205.3484512
70,67,359.6699002,211.8322963
70,69,334.5653032,217.8931032
70,71,307.8307377,223.5013442
70,73,279.5964517,228.6296966
70,75,250,233.2531755
70,77,219.1855734,237.3492558
70,79,187.3032967,240.8979818
70,81,154.5084972,243.8820645
70,83,120.9609478,246.2869658
70,85,86.82408883,248.1009691
70,87,52.26423163,249.3152369
70,89,17.44974835,249.9238534
80,1,22.79150805,0.099456813
80,3,68.26348622,0.89438443
80,5,113.4028915,2.480366855
80,7,157.9898094,4.849677343
80,9,201.8070167,7.99077285
80,11,244.6410406,11.88835027
80,13,286.2831979,16.52342101
80,15,326.5306122,21.87340346
80,17,365.1872023,27.91223305
80,19,402.0646369,34.61048921
80,21,436.9832531,41.9355387
80,23,469.7729308,49.85169462
80,25,500.273922,58.32039026
80,27,528.337629,67.30036697
80,29,553.8273281,76.74787523
80,31,576.6188362,86.61688771
80,33,596.6011152,96.85932358
80,35,613.6768136,107.4252827
80,37,627.7627402,118.2632888
80,39,638.7902699,129.3205403
80,41,646.7056775,140.5431672
80,43,651.4704002,151.8764941
80,45,653.0612245,163.2653061
80,47,651.4704002,174.6541182
80,49,646.7056775,185.9874451
80,51,638.7902699,197.210072
80,53,627.7627402,208.2673234
80,55,613.6768136,219.1053295
80,57,596.6011152,229.6712887
80,59,576.6188362,239.9137245
80,61,553.8273281,249.782737
80,63,528.337629,259.2302453
80,65,500.273922,268.210222
80,67,469.7729308,276.6789176
80,69,436.9832531,284.5950735
80,71,402.0646369,291.920123
80,73,365.1872023,298.6183792
80,75,326.5306122,304.6572088
80,77,286.2831979,310.0071912
80,79,244.6410406,314.642262
80,81,201.8070167,318.5398394
80,83,157.9898094,321.6809349
80,85,113.4028915,324.0502454
80,87,68.26348622,325.6362278
80,89,22.79150805,326.4311554
90,1,28.84550238,0.125875029
90,3,86.39597474,1.131955294
90,5,143.5255346,3.139214301
90,7,199.9558525,6.137872887
90,9,255.4120056,10.11332189
90,11,309.623817,15.04619332
90,13,362.3271723,20.91245472
90,15,413.2653061,27.68352626
90,17,462.1900529,35.32641996
90,19,508.8630561,43.8039004
90,21,553.0569297,53.07466616
90,23,594.5563656,63.093551
90,25,633.1591826,73.81174392
90,27,668.6773117,85.17702695
90,29,700.9377121,97.13402958
90,31,729.7832145,109.6244985
90,33,755.0732864,122.5875814
90,35,776.6847172,135.9601234
90,37,794.5122181,149.6769749
90,39,808.4689353,163.6713088
90,41,818.4868731,177.874946
90,43,824.5172252,192.2186878
90,45,826.5306122,206.6326531
90,47,824.5172252,221.0466183
90,49,818.4868731,235.3903601
90,51,808.4689353,249.5939973
90,53,794.5122181,263.5883312
90,55,776.6847172,277.3051827
90,57,755.0732864,290.6777247
90,59,729.7832145,303.6408076
90,61,700.9377121,316.1312765
90,63,668.6773117,328.0882792
90,65,633.1591826,339.4535622
90,67,594.5563656,350.1717551
90,69,553.0569297,360.19064
90,71,508.8630561,369.4614057
90,73,462.1900529,377.9388862
90,75,413.2653061,385.5817799
90,77,362.3271723,392.3528514
90,79,309.623817,398.2191128
90,81,255.4120056,403.1519842
90,83,199.9558525,407.1274332
90,85,143.5255346,410.1260918
90,87,86.39597474,412.1333508
90,89,28.84550238,413.1394311
90,1,28.84550238,0.125875029
90,3,86.39597474,1.131955294
90,5,143.5255346,3.139214301
90,7,199.9558525,6.137872887
90,9,255.4120056,10.11332189
90,11,309.623817,15.04619332
90,13,362.3271723,20.91245472
90,15,413.2653061,27.68352626
90,17,462.1900529,35.32641996
90,19,508.8630561,43.8039004
90,21,553.0569297,53.07466616
90,23,594.5563656,63.093551
